Song	Artist	Lyrics
Don't Let Me Fall	B.o.B	
Unravel (Cover)	りょ子	
GLASS SKIN (Japanese Lyrics Re-mastering)	DIR EN GREY	
Will There Really Be A Morning? (Live Cover)	Ashe	
獣慾	DIR EN GREY	
Anna Molly	Incubus	
Lies and Truth	L'Arc~en~Ciel	
기대해	Girl's Day	
KISS OR BITE	Meg	
Heavens Drive (Live)	L'Arc~en~Ciel	
White Feathers	L'Arc~en~Ciel	
Baptism of Blood	Malice Mizer	
Feeling Fine	L'Arc~en~Ciel	
Trail of Tears	ViViD	
Chase the Morning	Darren Smith & Terrance Zdunich	
Nervous and Innocence	Eve of Destiny	
Approximately Gone	Sophie Hunger	
DESTINY -The Lovers-	Versailles	
REPETITION OF HATRED	DIR EN GREY	
Key Entity Extraction I: Domino the Destitute	Coheed and Cambria	
星の無い夜に	DELUHI	
The Grace	Neverending White Lights	
THE GHOST IN MY ROOM	L'Arc~en~Ciel	
Step on The Floor	Capsule	
Hither	The Ransom Collective	
I May Fall (feat. Casey Lee Williams)	Jeff Williams	
OBSCURE (remake)	DIR EN GREY	
Obscure	DIR EN GREY	
No More Perfume On You	TEEN TOP	
Megu Megu Romantic Fever ft. Carlos, Joel, Jurian (Cover)	Akatsuki Taiyou	
Link	L'Arc~en~Ciel	
Kremlin Dusk	Utada	
Jasper	木村カエラ	
It's in Our Hands	Björk	
Interviewer-インタビュア (English Cover)	JoyDreamer	
IA IA Night of Desire (Cover)	Zessei Bijin!	
I think I can fly	ギルガメッシュ	
I Did It For Love	Boa	
Hyperballad	Björk	
Honey Vanity	Közi	
Hawak Kamay	Yeng Constantino	
Have One on Me	Joanna Newsom	
Hama	Boris	
Galileo (Someone Like You)	Declan O'Rourke	
freesia	ムック	
forbidden lover	L'Arc~en~Ciel	
Fly Me To The Moon (Mike Brown Remix Cover)	宇多田ヒカル	
Ezio's Family (Metal Cover)	Warialasky	
Eyes Love You [tt mix]	Hide	
Easy	Joanna Newsom	
Downtime (Cover)	Horizon	
Deliver Us	Ofra Haza	
Lapit	Yeng Constantino	
Skandar Maalouf	Mashrou' Leila	
CONCEIVED SORROW	DIR EN GREY	
Can't take my eyes off of you	Tommy february6	
Be My Last	宇多田ヒカル	
Bachelorette	Björk	
ART OF LIFE	X Japan	
Angel Heart	START OF THE DAY	
All Dead	L'Arc~en~Ciel	1
A Drop of Color	Hyde	
愛Dee (Cover ft. Renna)	Ikon	
The Cape Of Storms	Hyde	
SHALLOW SLEEP	Hyde	
WHITE SONG	Hyde	
UNEXPECTED	Hyde	
Wings (feat. Casey Lee Williams)	Jeff Williams	
カスガイ	チリヌルヲワカ	
Caress of Venus	L'Arc~en~Ciel	
darkness rabbit	COLTEMONIKHA	
Lost and Found	Horizon	
GOOD LUCK MY WAY	L'Arc~en~Ciel	
Текстиль	Buhar Jerreau	
God Palace -Method of Inheritance-	Versailles	
happiness!!!	木村カエラ	
Shim El Yasmine	Mashrou' Leila	
VINUSHKA	DIR EN GREY	
Coming Closer	L'Arc~en~Ciel	
Mister Sandman	Pomplamoose	
Let Me Go ! (Feat. Sophie Hunger)	Erik Truffaz Quartet	
Wrong Side of the Sun	Sophie Ellis-Bextor	
Novacane	Frank Ocean	
Rise And Fall	Sophie Hunger	
Kaikou	Közi	
Lies And Truth (Hydeless)	L'Arc~en~Ciel	
Unravel (Dupstep Cover)	Poucet	
Kunin Mo Na Ang Lahat Sa Akin	Angeline Quinto	
Only Human (Piano Version)	Susumu Ueda	
Miss Murder	AFI	
The Book of Right-on (live)	Joanna Newsom	
Goodnight, Fair Lady	Coheed and Cambria	
Pink Spider	Hide	
Flare Gun	Owen Pallett	
PRECIOUS	ViViD	
一途な片思い、実らせたい小さな幸せ。 (Cover)	Katie	
Бармен	Buhar Jerreau	
Flare (Cover)	Horizon	
Pyrocumulus (Sicknasty Cover)	Horizon	
サリシノハラ (English Cover)	Nami	
Чиновник	Buhar Jerreau	
桜流し (Cover)	Sugar Joiko	
RED SOIL [LIVE]	DIR EN GREY	
할말 있어요	승리	
retro memory	Capsule	
步步	五月天	
The Book of Right-On	Joanna Newsom	
Apollo I: The Writing Writer	Coheed and Cambria	
田中理恵 (Cover)	Horizon	
THE PLEDGE	DIR EN GREY	
vestige	Moi dix Mois	
春と修羅	downy	
サリシノハラ (Cover)	きむにゅ	
THE PLEDGE (acoustic)	DIR EN GREY	
Sayounara	L'Arc~en~Ciel	
Plastic Girl (feat. EeL)	Capsule	
What is love	L'Arc~en~Ciel	
Rose	이하이	
擁抱 (日本語)	五月天	
楽園	indigo la End	
Cosmia	Joanna Newsom	
CLEVER SLEAZOID	DIR EN GREY	
West Coast (Cover)	Jhóna	
Standing Still (Cover)	peuyeumus	
Unravel (English Cover)	りょ子	
ネトゲ廃人シュプレヒコール (Cover)	chesu	
Unravel	Björk	
摩托車日記	五月天	
Mirror Mirror (Rooster Teeth's Rwby White Trailer) [feat. Casey Williams]	Jeff Williams	1
Scream	2NE1	
Gold feat Casey Lee Williams	Jeff Williams feat Casey Lee Williams	
Ten Speed (Of God's Blood & Burial)	Coheed and Cambria	
舞風 ft. Saint (Cover)	ロザー	
おやすみ	tricot	
Crossing The Frame	Coheed and Cambria	
One Life	The Pillows	
Sweet Dream	MFBTY	
Day by Day	T-ARA	
Vi-Vi-Vi	Sug	
Discovering the Waterfront	Silverstein	
Hyperballad	Robyn	
4:00AM	Luna Sea	
ないものねだり	KANA-BOON	
Мост	Buhar Jerreau	
As If in a Dream	L'Arc~en~Ciel	
The Blossoming Beelzebub	DIR EN GREY	
Coelacanth (Cover)	BACKSLASH/Mari/Acca/Rimi/Cola	
心の色	Acid Black Cherry	
썸씽	Girl's Day	
Birthday Eve	倖田來未	
Palette (Cover)	エミ	
Good-bye days	YUI	
So	Typhoon	
tentation	Moi dix Mois	
オデッセイ・1985・SEX	MERRY	
Girls (Cover)	Maria	
Good Intentions Paving Company	Joanna Newsom	
소년이여	G-Dragon	
Lotus	DIR EN GREY	
Mothers of Men	Coheed and Cambria	
The Afterman	Coheed and Cambria	
Anemone	L'Arc~en~Ciel	
Back to Black	Amy Winehouse	
Dybbuk	GACKT	
Let Me Go ! - feat. Sophie Hunger	Erik Truffaz Quartet	
我不願讓你一個人	五月天	
again	YUI	
I Burn ft. CDanielART (Extended Version)	Jeff Williams	
Somebody To Love	ClubSoda	
Doom Dada	T.O.P	
All Dead (Guitar Cover)	hha1993	
MaGic in youR Eyes	Tommy february6	
Once Upon Your Dead Body	Coheed and Cambria	
バビロン (Cover)	俊	
one summer night (ft. tasha)	Drunken Tiger	
Trollcops (Cover)	Horizon	
Forget You (Clean)	CeeLo Green	
エレクトロ・ワールド	Perfume	
Pieces [ark mix]	L'Arc~en~Ciel	
Fare Well	L'Arc~en~Ciel	
Mister (Cover)	Zessei Bijin!	
Bad Boy	Bigbang	
Cocoon	Björk	
makka na ito	Plastic Tree	
PONPONPON	きゃりーぱみゅぱみゅ	
Dancer in the Dark	巡音ルカ	
Promise	Yeng Constantino	
Crazy's crew	The Fool	
HONEY	L'Arc~en~Ciel	
我不願讓你一個人 (Cover)	Kien Seng Swee	
星空	五月天	
Game	ムック	
Земляне	Buhar Jerreau	
波紋	ViViD	
Monster	Bigbang	
Jelly	Capsule	
我不願讓你一個人 (Cover)	高豪力	
LEECH	the GazettE	
Cruel Arcadia	Közi	
Love	Cinemaglam	
Just Be Friends	巡音ルカ	
L's Theme B	Death Note	
サリシノハラ (Acoustic Cover)	りょ子	
HEAVEN'S DRIVE	L'Arc~en~Ciel	
VS	misono	
Fairytale (Cover)	りょ子	
WIND	KAT-TUN	
Aventure	ゆよゆっぺ	
UTAKATA	Speed	
Filth in the beauty	the GazettE	
confusion	Sadie	
Ikenai Taiyou	ORANGE RANGE	
Give Me Novacaine	Green Day	
secret	巡音ルカ	
DYE	巡音ルカ	
害虫	ヲタ姐	
「un-」	KAT-TUN	
Kamikaze	NoGoD	
Haru Haru	Bigbang	
I'm so happy	L'Arc~en~Ciel	
Retsu	DANGER☆GANG	
Pretty girl	L'Arc~en~Ciel	
Blame	L'Arc~en~Ciel	
Uzu	Kagrra,	
Ichirin no Hana	High And Mighty Color	
Incoherents	Közi	
Grottesca	Közi	
Kaikou (Inst)	Közi	
Tsukiyo	Közi	
Stand by me	The Brilliant Green	
All the Things She Said	t.A.T.u.	
Only Human	K	
#1 (English Version)	자우림	
CHILD PREY	DIR EN GREY	
GLASS SKIN (English Version)	DIR EN GREY	
Vizard	Moi dix Mois	
Kasou	L'Arc~en~Ciel	
DRINK IT DOWN	L'Arc~en~Ciel	
Aozora	NoGoD	
Longing (Unchained Melody)	X Japan	
Ophelia	L'Arc~en~Ciel	
Ibara no namida	L'Arc~en~Ciel	
Round and Round	L'Arc~en~Ciel	
It's Not a Fashion Statement, It's a Deathwish	My Chemical Romance	
涙雨～なみだあめ ft. Sabi (Cover)	Poucet	
Breeding	Hide	
짧은 치마	AOA	
twinkle, twinkle	L'Arc~en~Ciel	
Ultimate 4	ギルガメッシュ	
shirasagi	NoGoD	
MY HEART DRAWS A DREAM	L'Arc~en~Ciel	
Eien	L'Arc~en~Ciel	
Killing Me	L'Arc~en~Ciel	
Bad	Tablo	
STAY AWAY	L'Arc~en~Ciel	
Shion	ムック	
get out from the shell	L'Arc~en~Ciel	
aito Kanashimino Nocturne	Versailles	
傷心的人別聽慢歌 (貫徹快樂)	五月天	
Ready, Steady, Go!	L'Arc~en~Ciel	
Aristocrat's Symphony	Versailles	
Entichers	L'Arc~en~Ciel	
Pieces	L'Arc~en~Ciel	
LOVE FLIES	L'Arc~en~Ciel	
Turn It Up (Intro)	이하이	
Lover Boy	L'Arc~en~Ciel	
滴る朦朧	DIR EN GREY	
nobody	ギルガメッシュ	
Zetsubu Billy	Maximum the Hormone	
小夜子 (English Acoustic Cover)	Antares	
Baroque	Malice Mizer	
Pussy Dance	The Fool	
Ever Free	Hide	
Leather Face	Hide	
ぶっ生き返す!!	Maximum the Hormone	
A Little Less Sixteen Candles, A Little More Touch Me	Fall Out Boy	
Mayonaka no Denwa	Capsule	
Ugly (Japanese Version Cover)	Zessei Bijin!	
Rolling Girl (Cover)	Antares	
CLEVER SLEAZOID (Cover)	初音ミク	
Fuyu Tokyo	LAREINE	
dress	abingdon boys school	
Lovers	7!!	
Karakuri	いきものがかり	
DOUBT '97	Hide	
Defended Desire	Aldious	
アイモ (Acapella Cover)	Horizon	
君がいない間に(Piano inst)	ゴールデンボンバー	
Anata	松田聖子	
Ascendead Master (album remaster)	Versailles	
Hikari	宇多田ヒカル	
Merry Christmas Mr. Lawrence - FYI	宇多田ヒカル	
Seishun Kyousoukyoku	Sanbomasutau	
ALUMINA	Nightmare	
That XX (Cover)	Arlene & Angky Budiardjono	
Kasanaru Kage	Hearts Grow	
Heavenly Star	Genki Rockets	
Megu Megu Romantic Fever ft. Carlos, Joel, Jurian	Akatsuki Taiyou	
Ukifune	GO!GO!7188	
SCREAM	Zessei Bijin!	
Mister	Zessei Bijin!	
Last Farewell	Bigbang	
Sayoko	Antares	
Sayoko (English Acoustic)	Antares	
Koishikute	Aokicchi	
オデッセイ・1985・SEX(Michiro,Get the Help!)	MERRY	
Lonely In Gorgeous (Paradise kiss OST)	Tommy february6	
Paran	Koyote	
カクセイ	NoGoD	
Utakata [Cover]	Stephanie	
