Song	Artist	Lyrics
Blurry Eyes	L'Arc~en~Ciel	"The wind that comes from the faraway blows at you\Even if I repeat the words that cannot be brought across\You gaze still looked faraway and float out from the window\The same premonition (prediction) continues\Those days are stormy and dark...\Like the bird in a cage with emptiness in the eyes\The afternoon sun\Made you confused like the light out of this world\The same premonition (prediction) continues\Those days are stormy and dark...\The always-changing season robbed the restrictions of each other\Even I reached out my both hands\There is no way to bring back the heart that is had left me\Why do you stare at the sky\With your blurry eyes?\The always-changing season robbed the restrictions of each other\Even I reached out my both hands\There is no way to bring back the heart that had left me\In the always-changing season\The most important person is not here any more\Eyes that are looking back (to the past) carry a soft sigh\...heart had left me long ago..."
MUTE	ESTi x TAK feat. Sanch	
相愛後動物感傷	張惠妹	"A grieved cat licking his after-fight-wound beside the window\A crumpled white mattress made a mess which can't be explained\Whose cigarette butts? Keep behaving arrogantly, spreading the greedy which can't be controlled\Who is holding the umbrella? A bit of heat(warm), it's heaven or misery?\At the peak of the edge, the time always gone tardily than the clock (real-time)\Once the sweat been dried by the wind, covering the skin with the invisible sorrow\Whose relationship, can't be announced? who is acting brave in unfamiliar room.\ Who afraid of rotting in the night? Let the breaths become brutally\Let's fall in love\Occupying the shoulder to block the regrets\Let's fall in love\Chewing a pair of wing and get through another season of darkness.\Let's fall in love\Animals always acting like this, once they are not satisfy\Let's fall in love\(Let's being in love first)\Feel the blues afterward, think about solution afterward."
E Is For Estranged	Owen Pallett	"I think that 80% of a good show is rooted in humiliation\\Boys run like water from the barrel to the trough\They'll never stop their running\Gunning for their brothers\This house is a hostel\It is peaceful, but it's always emptying\Boys all want to be someone\\Haven't you heard? I am a flightless bird\I am a liar, feeding facts to a false fire\If pathos is borne, borne out of bullshit\In formal attire, I'll score you a string ensemble\\I saw my son at seventeen\The shutters made projections on his naked frame\And now at twenty-five\He simply cannot stay away from the ketamine\With makeup on his sores\He spends an hour a day composing little eulogies\Sometimes he sends me letters\But they're mostly garbled phrases and apologies\\But haven't you heard? I am a flightless bird\I am a liar, feeding facts to a false fire\If pathos is borne, borne out of bullshit\In formal attire, cue the Bulgarian men's choir"
Alone in the dark	COMEBACK MY DAUGHTERS	"Somebody, get me out of here\Somebody, take me away\We are still clinging to the dreams of our youth\It's always people like them swimming\at the blackened beach\with half canned and cold\I still remember that scene even now days\Somehow my heart felt lighter\There is someone who make no progress\My dream is still just a dream\Your smile left an impression\Have you ever felt like you are alone in the dark?"
Emily	Joanna Newsom	"The meadowlark and the chim-choo-ree and the sparrow\Set to the sky in a flying spree, for the sport of the pharaoh\Little while later the Pharisees dragged a comb through the meadow\Do you remember what they called up to you and me, in our window?\There is a rusty light on the pines tonight\Sun pouring wine, lord, or marrow\Down into the bones of the birches\And the spires of the churches\Jutting out from the shadows\The yoke, and the axe, and the old smokestacks and the bale and the barrow\And everything sloped like it was dragged from a rope\In the mouth of the south below\We've seen those mountains kneeling, felten and grey\We thought our very hearts would up and melt away\From that snow in the nighttime\Just going\And going\And the stirring of wind chimes\In the morning\In the morning\Helps me find my way back in\From the place where I have been\And, Emily - I saw you last night by the river\I dreamed you were skipping little stones across the surface of the water\Frowning at the angle where they were lost, and slipped under forever\In a mud-cloud, mica-spangled, like the sky'd been breathing on a mirror\Anyhow - I sat by your side, by the water\You taught me the names of the stars overhead that I wrote down in my ledger\Though all I knew of the rote universe were those Pleiades loosed in December\I promised you I'd set them to verse so I'd always remember\\That the meteorite is a source of the light\And the meteor's just what we see\And the meteoroid is a stone that's devoid of the fire that propelled it to thee\And the meteorite’s just what causes the light\And the meteor’s how it’s perceived\And the meteoroid’s a bone thrown from the void\That lies quiet and offering to thee\\You came and lay a cold compress upon the mess I'm in\Threw the window wide and cried, "Amen! Amen! Amen!"\The whole world stopped to hear you hollering\You looked down and saw now what was happening\The lines are fading in my kingdom\(Though I have never known the way to border them in)\So the muddy mouths of baboons and sows and the grouse and the horse and the hen\Grope at the gate of the looming lake that was once a tidy pen\And the mail is late and the great estates are not lit from within\The talk in town's becoming downright sickening\In due time we will see the far buttes lit by a flare\I've seen your bravery, and I will follow you there\And row through the nighttime\Gone healthy\Gone healthy all of a sudden\In search of the midwife\Who could help me\Who could help me\Help me find my way back in\There are worries where I've been\Say, say, say in the lee of the bay; don't be bothered\Leave your troubles here where the tugboats shear the water from the water\(Flanked by furrows, curling back, like a match held up to a newspaper)\Emily, they'll follow your lead by the letter\And I make this claim, and I'm not ashamed to say I know you better\What they've seen is just a beam of your sun that banishes winter\Let us go! Though we know it's a hopeless endeavor\The ties that bind, they are barbed and spined and hold us close forever\Though there is nothing would help me come to grips with a sky that is gaping and yawning\There is a song I woke with on my lips as you sailed your great ship towards the morning\Come on home, the poppies are all grown knee-deep by now\Blossoms all have fallen, and the pollen ruins the plow\Peonies nod in the breeze and while they wetly bow\With hydrocephalitic listlessness ants mop up-a their brow\And everything with wings is restless, aimless, drunk and dour\The butterflies and birds collide at hot, ungodly hours\And my clay-colored motherlessness rangily reclines\Come on home, now! All my bones are dolorous with vines\Pa pointed out to me, for the hundredth time tonight\The way the ladle leads to a dirt-red bullet of light\Squint skyward and listen\Loving him, we move within his borders\Just asterisms in the stars' set order\We could stand for a century\Staring\With our heads cocked\In the broad daylight at this thing\Joy\Landlocked\In bodies that don't keep\Dumbstruck with the sweetness of being\Until we don't be told\Take this\Eat this\Told"
桜流し	宇多田ヒカル	"Watching flowers just blossomed fall\“Too early, this year” you said,\In disappointment, regret\And you were beautiful\If you could see me now\I wonder what you would think\Me, living without you\Everybody finds love\In the end\If you could hear the newborn’s cry,\Sound and healthy\Ringing in the town you protected\I know you would be so pleased\The footsteps that continue after us\Everybody finds love\In the end\I can’t believe that I’ll never see you again\I haven’t told you anything yet\I haven’t told you anything yet\Watching flowers just blossomed fall\The trees stood by, helpless\However great the fear, I will not look away\If at the end of everything, there is love"
TRAP	Meg	" Don’t lead me on too much\I bet it’s a trap but I’m in love with you\It’s so unfair of you to act so nice, hey\Your trap, I let out a sigh\Wait a minute, baby\Play that music louder, I’m listening\Your voice, oh it’s dangerous\Miss you, fluently, like a cigarette\I’m not in… the license-free category!\On the dance floor, side by side, you and me\The air is thin, DJ spins old tunes\Like a dandy hitman? Oh NO! NO!\Woo Baby swing it, Sing La-la-la\It’s a TRAP, right? C’mon now, a trap\Don’t lead me on too much\I bet it’s a trap but I’m in love with you\It’s so unfair of you to act so nice, hey\Your trap, I let out a sigh\Wait a minute, baby\Be quiet for a second, I still have a secret\Yeah a secret, Keep on trying\Nonchalantly lock, trap, Gimme Gimme a Step\You’re so good at doing those kinda smiles\On the dance floor, side by side, you and me\The air is thin, DJ spins old tunes\Making a daring victory with logic, lock lock lock\Woo Baby escort OK, Sing La-la-la\It’s a TRAP, right? C’mon now, a trap\Don’t lead me on too much\I bet it’s a trap but I’m in love with you\It’s so unfair of you to act so nice, hey\Your trap, I let out a sigh\Don’t lead me on so much\I bet it’s a trap but don’t be so cold\It’s so unfair of you to act so nice, hey\Your trap, I let out a sigh\Don’t lead me on too much\I bet it’s a trap let me hear a step\It’s so unfair of you to act so nice, hey\Your trap, it’ll make my heart race "
House of Balloons / Glass Table Girls	The Weeknd	"Been on another level since you came, no more pain\You look into my eyes, you can't recognize my face\You're in my world now, you can stay, you can stay\But you belong to me, you belong to me\\If it hurts to breathe, open the window\Oh, your mind wants to leave but you can't go\This is a happy house, we're happy here\In a happy house, oh this is fun\\Music got you lost\Nights pass so much quicker than the days did\Same clothes, you ain't ready for your day shift\This place will burn you up\But baby it's okay, them my niggas next door\And they working in the trap, so get naughty if you want\So don't blame it on me that you didn't call your home\So don't blame it on me, girl, cause you wanted to have fun\\If it hurts to breathe, open the window\Oh, your mind wants to leave but you can't go\This is a happy house, we're happy here\In a happy house, oh this is fun\\\Bring the 707 out\Bring the 707 out\Bring the 707 out\Bring the 707 out\Bring the 707 out\Bring the 7\\Two puffs for the lady who be down for that\Whatever, together\Bring your own stash of the greatest, trade it\Roll a dub, burn a dub, cough a dub, taste it\Then watch us chase it\With a handful of pills, no chasers\Jaw clenching on some super-sized papers\And she bad and her head bad\Escaping, her van is a Wonderland\And it's half-past six\Read skies cause time don't exist\But when the stars shine back to the crib\Superstar lines back at the crib\And we can test out the tables\Got some brand new tables\All glass and it's four feet wide\But it's a must to get us ten feet high\She give me sex in a handbag\I get her wetter than a wet nap\And no closed doors\So I listen to her moans echo\"I heard he do drugs now"\You heard wrong, I been on it for a minute\We just never act a fool\That's just how we fuckin' live it\And when we act a fool\It's probably cause we mixed it\Yeah I'm always on that okey dokey\Them white boys know the deal\Ain't no fuckin' phony\Big O know the deal\He the one who showed me\Watch me ride this fucking beat\Like he fuckin' told me\"Is that your girl, what's her fucking story?"\"She kinda bad but she ride it like a fucking pony"\I cut down on her man, be her fuckin' story\Yeah I'm talking 'bout you man, get to know me\Ain't no offense, though, I promise you\If you a real man, dude, you gon' decide the truth\But I'm a nice dude with some nice dreams\And we could turn this to a nightmare: Elm Street\\La la la la la la la la\I'm so gone, so gone\Bring out the glass tables\Bring the 707 out\La la la la la la la la\I'm so gone, so gone\Bring out the glass tables\Bring the 707 out\La la la la la la la la\I'm so gone, so gone\Bring out the glass tables\Bring the 707 out\La la la la la la la la\I'm so gone, so gone\Bring out the glass tables\Bring the 707 out\Bring the 707 out\Bring the 707 out"
When You Were Young	The Killers	"You sit there in your heartache\Waiting on some beautiful boy to\To save you from your old ways\You play forgiveness\Watch it now, here he comes\He doesn't look a thing like Jesus\But he talks like a gentlemen\Like you imagined\When you were young\\Can we climb this mountain? I don't know\Higher now than ever before\I know we can make it if we take it slow\Let's take it easy\Easy now, watch it go\We're burning down the highway skyline\On the back of a hurricane that started turning\When you were young\When you were young\\And sometimes you close your eyes\And see the place where you used to live\When you were young\\\They say the devil's water — it ain't so sweet\You don't have to drink right now\But you can dip your feet\Every once in a little while\\\You sit there in your heartache\Waiting on some beautiful boy to\To save you from your old ways\You play forgiveness\Watch it now, here he comes\He doesn't look a thing like Jesus\But he talks like a gentlemen\Like you imagined\When you were young\(Talks like a gentlemen)\(Like you imagined)\When you were young\\I said he doesn't look a thing like Jesus\He doesn't look a thing like Jesus\But more than you'll ever know"
The Earth Will Shake	Thrice	"We dream of ways to break these iron bars\We dream of black nights without moon or stars\We dream of tunnels and of sleeping guards\We dream of blackouts in the prison yard\Heartbroken, we found (a gleam of hope)\Hearken to the sound, (a whistle blows)\Heaven sent reply, (however small)\Evidence of life (beyond these walls)\Born and bred (in this machine)\Wardens dread (to see us dream)\We hold tight (to legends of)\Real life, (the way it was before)\We dream of jailers throwing down their arms\We dream of open gates and no alarms\Look to the day the Earth will shake\These weathered walls will fall away"
Spending all my time	Perfume	"Spending all, spending,\Spending all my time\Loving you, so loving you forever\Spending all, spending,\Spending all my time\Loving you, so loving you forever\Spending all, spending,\Spending all my time\Loving you, so loving you forever\Spending all, spending,\Spending all my time\Loving you, so loving you I wanna do\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all my time\Always thinking of you\All my time\Spending all, spending,\Spending all my time\Loving you, so loving you forever\Spending all, spending,\Spending all my time\Loving you, so loving you I wanna do\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all my time\Don't let go at this point\All my time\Spending all my time\Always thinking of you\All my time\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all, spending,\Spending all my time\So loving you, loving,\Loving you forever\Spending all my time\Don't let go at this point\All my time\Spending all my time\Always thinking of you\All my time"
Raasuk	Mashrou' Leila	"His heart beat an independent rhythm which he would listen to before they reached for him\And they replaced his heart with an artificial desire that prioritized their interests.\ \They chased you and they harassed you,\They made you kneel and they trained you,\To move like they do.\They enslaved you with their rhythm,\They programmed you and taught you,\How to dance like they do.\Your image is being enveloped by corruption, cast it away to free your conscience.\ \You had a choice and you danced.\We were free and then you danced.\You had a choice and you danced.\Even in suicide, you danced.\ \They chased you and they harassed you,\They made you kneel and they trained you,\To move like they do.\They enslaved you with their rhythm,\They programmed you and taught you,\How to dance like they do.\Your image is being enveloped by corruption, cast it away to free your conscience."
Langis at Tubig	Juris	
Chiquitita	Laleh	"Chiquitita, tell me what's wrong\You're enchained by your own sorrow\In your eyes there is no hope for tomorrow\How I hate to see you like this\There is no way you can deny it\I can see that you're oh so sad, so quiet\Chiquitita, you and I know\How the heartaches come and they go and the scars they're leaving\You'll be dancing once again and the pain will end\You will have no time for grieving\Chiquitita, you and I cry\But the sun is still in the sky and shining above you\Let me hear you sing once more like you did before\Sing a new song, Chiquitita\Try once more l\New song, Chiquitita\Chiquitita, tell me what's wrong\You're enchained by your own sorrow\In your eyes there is no hope for tomorrow\How I hate to see you like this\There is no way you can deny it\I can see that you're oh so sad, so quiet\Chiquitita, you and I know\How the heartaches come and they go and the scars they're leaving\We'll be dancing once again and the pain will end\You will have no time for grieving\Chiquitita, you and I cry\But the sun is still in the sky and shining above you\Let me hear you sing once more like you did before\Sing a new song, Chiquitita\Chiquitita, you and I know\How the heartaches come and they go and the scars they're leaving\You'll be dancing once again and the pain will end\You will have no time for grieving\Chiquitita, you and I cry\But the sun is still in the sky and shining above you\Let me hear you sing once more like you did before\Sing a new song, Chiquitita\Try once more\Sing a new song, Chiquitita"
Sonic - Star Light Zone	Smooth McGroove	
Baptism	Crystal Castles	"Hold my head under the water\Take a breath for the Father\Learn to love, lessons repeating\The chronicles are so misleading\\This is your baptism\And you can't forgive 'em\This is your baptism\And you can't forgive 'em\\Hold my head under water\Take a breath for the Father\Learn to love, lessons repeating\The chronicles are so misleading\\\And you can't"
Ala Babu	Mashrou' Leila	"I’m sleeping and recall you in my dreams\I fantasize that your hand is the place of my hand\Why do I kneel down in front of you, why do I come back to you just that you strangle me\Why do I plead for you, why do I obey you just that you burn me\Tell me that I satisfy you like he satisfies you\And just kisses you where I kiss you and then you fantasize about me\My heart knocks on your door and you strangle me on my aorta\My heart throws me before your feet\It was me who protected you and you hurt me\It was me who hurt you and you protected me\Out of my flaws, my sins, my scars\In my flaws, my sins, my scars\My heart knocks on your door and you strangle me on my aorta\My heart throws me before your feet\The night goes on in my glass without me sleeping\It’s truth is it doesn’t have peace without you\My heart knocks on his door and desires his absence\My heart knocks on his door and longs for his torture"
Something	JMSN	"Verse 1:\Happiness is cold at night, but it feels so good\Forget the lies we're stuck inside. Don't let them tell us what we should do\No it doesn't right the wrongs, no matter what you thought\Moving closer towards the light but still so far away\My loneliness is knit so tight I'm hoping this will change my world\Chorus:\There's something there inside me and it won't go away\It won't go away\Said there's something there inside me and it won't go away\It won't go away\Verse 2:\Lights go off we fuck around, this just don't feel the same\From what I've lost, I've somehow found\Things are only what you make them\Chorus:\Still there's something there inside me and it won't go away\It won't go away\Said there's something there inside me and it won't go away\It won't go away\Verse 3 / Hook:\You know I wanna. (x4)\There's something there inside me and it won't go away. It won't go away\Said there's something there inside me and it won't go away\I'm falling and I'm falling. I feel like heavens calling me\You know I wanna. (x4)"
For Miles	Thrice	"I know one day, all our scars will disappear, like the stars at dawn\And all of our pain, will fade away when morning comes\And on that day when we look backwards we will see, that everything is changed\And all of our trials, will be as milestones on the way\And as long as we live, every scar is a bridge to someone's broken heart\And there's no greater love, than that one shed his blood for his friends\On that day all of the scales will swing to set all the wrongs to right\All our tears, and all of our fears will take to flight\But until then all of our scars will still remain, but we've learned that if we'll\Open the wounds and share them then soon they start to heal\(As long as we live, we are bridges to someone broken heart\There's no greater love, shed your blood for your friends)\We must see that every scar is a bridge, and as long as we live\We must open up these wounds\When some one stands in your shoes and will shed his own blood\There's no greater love. We must open up our wounds"
My Silver Lining	First Aid Kit	"I don't want to wait anymore\I'm tired of looking for answers\Take me some place where there's music and there's laughter\I don't know if I'm scared of dying\But I'm scared of living too fast, too slow\Regret, remorse, hold on, oh no I've got to go\There’s no starting over\No new beginnings time races on\And you've just gotta keep on keeping on\Gotta keep on going\Looking straight out on the road\Can't worry 'bout what's behind you\Or what's coming for you further up the road\I try not to hold on to what is gone\I try to do right what is wrong\I try to keep on keeping on\Yeah I just keep on keeping on\\I hear a voice calling\Calling out for me\These shackles I've made in an attempt to be free\Be it for reason, be it for love\I won't take the easy road\\I've woken up in a hotel room\My worries as big as the moon\Having no idea who or what or where I am\Something good comes with the bad\A song's never just sad\There's hope, there's a silver lining\Show me my silver lining\Show me my silver lining\\I hear a voice calling\Calling out for me\These shackles I've made in an attempt to be free\Be it for reason, be it for love\I won't take the easy road\I won't take the easy road\The easy road, the easy road, oh!\I won't take the easy road\The easy road, the easy road, oh!\\Show me my silver lining, I try to keep on keeping on\Show me my silver lining, I try to keep on keeping on\Show me my silver lining, I try to keep on keeping on\Show me my silver lining, I try to keep on keeping on"
Chiquitita	ABBA	"Chiquitita, tell me what's wrong\You're enchained by your own sorrow\In your eyes, there is no hope for tomorrow\How I hate to see you like this\There is no way you can deny it\I can see that you're oh-so sad, so quiet...\\Chiquitita, tell me the truth\I'm a shoulder you can cry on\Your best friend, I'm the one you must rely on\You were always sure of yourself\Now, I see you've broken a feather (How it hurts to see you cry and how it hurts to see you sad)\I hope we can patch it up together...\\Chiquitita, you and I know\How the heartaches come and they go and the scars they're leaving\You'll be dancing once again, and the pain will end\You will have no time for grieving\Chiquitita, you and I cry\But the sun is still in the sky and shining above you\Let me hear you sing once more like you did before\Sing a new song, Chiquitita\Try once more, like you did before\Sing a new song, Chiquitita...\\So the walls came tumbling down\And your love's a blown-out candle\All is gone, and it seems too hard to handle\Chiquitita, tell me the truth\There is no way you can deny it\I see that you're oh-so sad, so quiet...\\Chiquitita, you and I know\How the heartaches come and they go and the scars they're leaving\You'll be dancing once again, and the pain will end\You will have no time for grieving\Chiquitita, you and I cry\But the sun is still in the sky and shining above you\Let me hear you sing once more like you did before\Sing a new song, Chiquitita\Try once more, like you did before\Sing a new song, Chiquitita..."
Atlantic	Thrice	"It's been so long\And tin cans and string for years\Is all that we've known\Could it be you're really here?\'Cause my eyes are open\And everything still moves in slow motion\Breathless and blue, and behind your eyes, the sea\Oceans of light envelop me\But things can't be as they seem\I'm so far from home\This must be another dream\But my eyes are open\And everything still moves in slow motion\Breathless and blue and behind your eyes, the sea\Oceans of light envelop me"
